Ticker,Label,Type
XOM,0,Stock
CVX,0,Stock
SHEL,0,Stock
BP,0,Stock
TTE,0,Stock
COP,0,Stock
OXY,-1,Stock
PBR,0,Stock
VLO,0,Stock
PSX,0,Stock
MPC,0,Stock
EOG,0,Stock
HES,0,Stock
DVN,0,Stock
KMI,0,Stock
WMB,0,Stock
LNG,0,Stock
EQT,-1,Stock
APA,-1,Stock
HAL,-1,Stock
SLB,0,Stock
BKR,0,Stock
NEM,0,Stock
GOLD,0,Stock
AEM,0,Stock
FNV,0,Stock
WPM,-1,Stock
PAAS,-1,Stock
AG,-1,Stock
HL,-1,Stock
FCX,-1,Stock
SCCO,0,Stock
AA,-1,Stock
RIO,0,Stock
BHP,0,Stock
VALE,0,Stock
GLNCY,0,Stock
MP,-1,Stock
SBSW,-1,Stock
TECK,0,Stock
CLF,-1,Stock
X,-1,Stock
NUE,0,Stock
ADM,0,Stock
BG,0,Stock
DE,0,Stock
NTR,0,Stock
TSN,0,Stock
SJM,1,Stock
CAG,-1,Stock
GIS,1,Stock
K,1,Stock
HSY,0,Stock
MDLZ,0,Stock
BYND,-1,Stock
DAR,0,Stock
INGR,0,Stock
CALM,-1,Stock
AAPL,0,Stock
MSFT,0,Stock
GOOGL,0,Stock
AMZN,0,Stock
META,0,Stock
TSLA,-1,Stock
NVDA,-1,Stock
INTC,-1,Stock
AMD,-1,Stock
AVGO,-1,Stock
QCOM,0,Stock
TXN,0,Stock
ADBE,0,Stock
CRM,0,Stock
ORCL,0,Stock
IBM,0,Stock
CSCO,0,Stock
NOW,-1,Stock
SHOP,-1,Stock
PYPL,-1,Stock
CAT,0,Stock
BA,-1,Stock
MMM,0,Stock
HON,0,Stock
GE,0,Stock
LMT,0,Stock
RTX,0,Stock
GD,0,Stock
NOC,0,Stock
EMR,0,Stock
ITW,0,Stock
FAST,0,Stock
DOV,0,Stock
ETN,0,Stock
PH,0,Stock
AME,0,Stock
ROK,0,Stock
SWK,-1,Stock
WMT,-1,Stock
TGT,0,Stock
COST,-1,Stock
HD,0,Stock
LOW,0,Stock
SBUX,0,Stock
MCD,0,Stock
YUM,0,Stock
DPZ,0,Stock
CMG,0,Stock
NKE,-1,Stock
ULTA,0,Stock
BBY,0,Stock
DG,-1,Stock
DLTR,0,Stock
F,0,Stock
GM,0,Stock
JNJ,0,Stock
PFE,0,Stock
MRK,0,Stock
ABT,0,Stock
AMGN,0,Stock
GILD,-1,Stock
BMY,0,Stock
UNH,0,Stock
LLY,-1,Stock
REGN,0,Stock
VRTX,-1,Stock
CVS,0,Stock
WBA,-1,Stock
DHR,0,Stock
SYK,0,Stock
MDT,0,Stock
ISRG,0,Stock
ZTS,0,Stock
JPM,0,Stock
BAC,0,Stock
WFC,0,Stock
C,0,Stock
GS,0,Stock
MS,0,Stock
SCHW,0,Stock
BLK,0,Stock
AXP,0,Stock
V,0,Stock
MA,0,Stock
NEE,0,Stock
DUK,0,Stock
SO,0,Stock
D,0,Stock
AEP,0,Stock
EXC,0,Stock
SRE,0,Stock
WEC,0,Stock
AWK,0,Stock
ECL,0,Stock
RSG,-1,Stock
WM,0,Stock
HUM,0,Stock
T,0,Stock
VZ,0,Stock
TMUS,-1,Stock
CHTR,0,Stock
CMCSA,0,Stock
CL=F,-1,Commodity
BZ=F,0,Commodity
NG=F,-1,Commodity
RB=F,0,Commodity
HO=F,0,Commodity
QA=F,-1,Commodity
QU=F,0,Commodity
QG=F,-1,Commodity
QH=F,-1,Commodity
GC=F,-1,Commodity
SI=F,0,Commodity
HG=F,0,Commodity
PL=F,0,Commodity
PA=F,-1,Commodity
ALI=F,1,Commodity
ZS=F,1,Commodity
ZM=F,-1,Commodity
ZL=F,0,Commodity
ZW=F,-1,Commodity
ZC=F,-1,Commodity
ZO=F,-1,Commodity
ZR=F,-1,Commodity
KE=F,-1,Commodity
CC=F,-1,Commodity
CJ=F,-1,Commodity
SB=F,-1,Commodity
YO=F,-1,Commodity
KC=F,-1,Commodity
OJ=F,-1,Commodity
LE=F,-1,Commodity
GF=F,-1,Commodity
HE=F,-1,Commodity
DC=F,-1,Commodity
HY=F,-1,Commodity
