,CL=F,BZ=F,NG=F,RB=F,HO=F,QA=F,QU=F,QG=F,QH=F,GC=F,SI=F,HG=F,PL=F,PA=F,ALI=F,ZS=F,ZM=F,ZL=F,ZW=F,ZC=F,ZO=F,ZR=F,KE=F,CC=F,CJ=F,SB=F,YO=F,KC=F,OJ=F,LE=F,GF=F,HE=F,DC=F,HY=F
XOM,0.5701758106469481,0.56491151480119,0.13492167573852434,0.4845183104884419,0.4670806908036557,-0.304364434782245,0.4808238317610506,0.10927522546460898,0.051406919099207936,0.1011631461047672,0.1676881175211509,0.26686959122879594,0.2211280364877712,0.19903635085958402,0.21256729370454636,0.16869455100118289,0.03936075714267855,0.2199702178455086,0.071973619142428,0.09423948926481679,0.061060384600670384,0.05723755991811522,0.08457770414303166,0.11494360174136022,0.10326240689881751,0.1494529081825194,0.1487510983103197,0.07751359455909472,0.02146571581560891,0.12079672373035982,0.059557582364118344,0.07730102388104441,0.03199446852821222,0.29466273803653936
CVX,0.5247008999010735,0.5184500969025889,0.12523544093424033,0.45121453599569733,0.4242481403823432,-0.32362950288556075,0.4398213233033405,0.08775864128226032,0.07494531731521038,0.09834340383092069,0.1834094584276966,0.28093336576711364,0.22494552524942574,0.19919840482963486,0.18403626531644607,0.1538229022193736,0.03279592023044344,0.22128411568898504,0.07910255092021044,0.09526663372049775,0.07611451485553328,0.05731992650767596,0.09237167324227664,0.1021636604907466,0.09044245534544319,0.1367599106745234,0.13560825807223278,0.0568603812305285,0.04085088523487985,0.08713888534806238,0.0724776223399884,0.07108730933197595,0.025432782964065176,0.31385407290048023
SHEL,0.540547942156806,0.5479809764300687,0.09544440980026923,0.4633265094729638,0.4495278806889724,-0.2994662714535037,0.45304147282295065,0.08847166044112582,0.14116292357131807,0.1329734690095177,0.22124429513970328,0.33233424146323953,0.27360104568883103,0.23314660675818114,0.21633199617833426,0.1646594606661095,0.025960369670897317,0.24440988498800975,0.061802589922758694,0.06626704416444441,0.03911241372484281,0.04568510118625045,0.0825506369245471,0.12152193166325867,0.11448471669097117,0.13010430990282598,0.12864956923276866,0.07352258303076635,0.04836228058229594,0.14297187888275834,0.11055440722806505,0.054263217936613775,0.023646898363475406,0.30101290503820816
BP,0.5549452020133271,0.559397094095789,0.09978898995034191,0.45956356066904325,0.4631474680437349,-0.32228675870725454,0.45356154366372964,0.08860072732923423,0.1528936123543565,0.120127468830604,0.21629428056827163,0.3394354417748404,0.26903007078444335,0.21802311931285903,0.23353854973422528,0.17680281107389847,0.04308756184296165,0.24582771728388245,0.05842603769159728,0.08146412582495208,0.052878230678827284,0.05802148801581732,0.08342928280112179,0.10547019404070211,0.11082537493649638,0.13297530804745003,0.13146368623433696,0.11590254049836571,0.05086114912184749,0.1611463364170196,0.12320719424956113,0.06964521149638032,-0.003640142258770008,0.3134134553162108
TTE,0.4956452073532216,0.4990081195120116,0.1121072169370109,0.4173996172231258,0.4188068318251644,-0.2625749794185946,0.41134386332122974,0.10846628003202106,0.16509272830086308,0.11494558448835114,0.2063942464546246,0.3346526585447611,0.27881910431773305,0.20961681813188443,0.22691495074017456,0.16007488256302227,0.021551655962796148,0.2376443392789571,0.046999591004833745,0.0639781402703859,0.01982784214204208,0.03808963035616664,0.07174908322236448,0.1403390856682003,0.13159888872492037,0.11168847568263168,0.11036431046894214,0.10087733022637212,0.022199381354897015,0.12084284448845639,0.11499461658188719,0.07518904823509887,0.0148915976792757,0.3091459465394779
COP,0.5921329703653319,0.596808736124918,0.1121991748960243,0.503693851054865,0.4791647027779192,-0.30941624264452017,0.5024347801898282,0.09847423691678471,0.04620637324083259,0.10313425090920764,0.16887397442676286,0.27772037528322896,0.22497068684255367,0.19036454387756294,0.2084456104738198,0.181991025618048,0.04683218548254598,0.2612619708469007,0.09773002380450779,0.11595944989201608,0.07476542682637224,0.0670535244306325,0.10467938066302121,0.11251255616629054,0.10223808918671555,0.17494781577210433,0.17327367496171794,0.08051617239198636,0.05005243727021219,0.10958321649040728,0.05654395615560851,0.047236902294031935,0.029379750504779676,0.32751783872790163
OXY,0.5753079954580667,0.5780869679189284,0.13546445257216153,0.48063460943288966,0.45547743454426426,-0.3189053132644096,0.4776094239012867,0.11660932440566876,0.08512518329003858,0.11106264852169308,0.17418001933660984,0.2651310682490806,0.21104916923260886,0.21578881411780462,0.20965062900964554,0.16025032653785834,0.04856268143136077,0.21958407496554858,0.09636335833811653,0.1154527289173965,0.05782502283863319,0.08566681962286143,0.11394480780873077,0.08720394100399381,0.08025697662064157,0.14374906910554255,0.142111681379478,0.06375806892198915,0.005873857945362008,0.08338633869191917,0.05714421188294895,0.06141951140477017,0.014404083583693814,0.2827637708670278
PBR,0.34552713424277076,0.3545208530101914,0.06036348181776519,0.30026072844333757,0.31268987102362117,-0.26545782799733963,0.31283891727568836,0.05485094344150073,0.08644066336460207,0.09678942556712575,0.15810248708423788,0.239281763743209,0.18708487896273768,0.16601205223060975,0.171251063783672,0.2080032810581122,0.09947730999389516,0.2148027302610029,0.09121066977537336,0.13355097550719067,0.0842843869533376,0.013532863616285798,0.10485894871731544,0.07693721360290098,0.07315383520759025,0.14149622072219012,0.14260415270391982,0.13161451046196002,0.06861847114289293,0.10891473609439203,0.046624688015495665,0.01479883615310393,0.026539185742562185,0.2633593868781545
VLO,0.435651783386985,0.44358529703403227,0.10246435721864978,0.475466974547909,0.4412610170865801,-0.2641792890121627,0.47162969900980695,0.09202269169170232,0.05512992796103656,0.026910119002484745,0.10401889560883794,0.22502049128853013,0.17485683443007471,0.15671623503635923,0.1530388138870071,0.1463715696715775,0.02638170134933829,0.21566971419481776,0.0730301826104651,0.08024183537627805,0.03753366644409215,0.03713406921404653,0.0758631414580723,0.12296953934230248,0.11392832912744792,0.12053116063484708,0.12017178110476377,0.04732193801264487,0.017649039041996464,0.08923233306192777,0.06959929288415685,0.06324712340320747,0.024586423287879248,0.3107043777145842
PSX,0.4353486550800933,0.44420548258385933,0.10748864302705703,0.4295639650142874,0.40636961989111364,-0.28920400489872705,0.43334246974059476,0.08339877504405836,0.07058198409004678,0.04110763081243899,0.11825630218836969,0.23174704108619937,0.18858210042622797,0.16379444622522388,0.16375787799793673,0.14626882999101845,0.024777736216990386,0.21490298233509275,0.0679267049570821,0.08806822233339008,0.031218650188518188,0.04936366336716581,0.07464857578646329,0.10109088896263892,0.09016056793470346,0.1064630860884793,0.10600336653266637,0.04579744239056502,0.025950589220390813,0.10769476996907835,0.07011313608160305,0.07558537103591748,0.00829967936766851,0.28978003829133414
