Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
SCCO,HG=F,0,0.6193502103222929,4.4715188687544105e-141,True,0.6193502103222929
GOLD,SI=F,0,0.5820544920937053,6.623808934850528e-121,True,0.5820544920937053
COP,BZ=F,0,0.5768913866128494,2.5772348676846323e-118,True,0.5768913866128494
DVN,BZ=F,0,0.5718839428578074,7.57461172955343e-116,True,0.5718839428578074
EOG,BZ=F,0,0.5683374656899728,3.998448595519257e-114,True,0.5683374656899728
AEM,SI=F,0,0.55291324373017,7.163442793995951e-107,True,0.55291324373017
SLB,BZ=F,0,0.5428092325974092,2.538704749037725e-102,True,0.5428092325974092
TECK,HG=F,0,0.541117113129366,1.4172713440794617e-101,True,0.541117113129366
XOM,BZ=F,0,0.5408549529832517,1.84833447630782e-101,True,0.5408549529832517
GLNCY,HG=F,0,0.5404328766732283,2.8329794654071502e-101,True,0.5404328766732283
NEM,SI=F,0,0.5402725874166279,3.3312440187009296e-101,True,0.5402725874166279
COP,QU=F,0,0.5381485570716769,2.8276602808886703e-100,True,0.5381485570716769
HES,BZ=F,0,0.5335729634942052,2.6909262045215077e-98,True,0.5335729634942052
COP,RB=F,0,0.5267272829833564,2.156834601100937e-95,True,0.5267272829833564
BP,BZ=F,0,0.52478219434277,1.402315295269446e-94,True,0.52478219434277
BHP,HG=F,0,0.5227428929318793,9.853613413647982e-94,True,0.5227428929318793
RIO,HG=F,0,0.5223792471703614,1.3930978378324e-93,True,0.5223792471703614
XOM,QU=F,0,0.5189347301486456,3.626136061795559e-92,True,0.5189347301486456
SHEL,BZ=F,0,0.5166828625914303,2.9926229057597193e-91,True,0.5166828625914303
XOM,RB=F,0,0.513559772280079,5.444382881738457e-90,True,0.513559772280079
CVX,RB=F,0,0.5067251935241166,2.804260828339355e-87,True,0.5067251935241166
CVX,BZ=F,0,0.5025941493665834,1.1410818447224251e-85,True,0.5025941493665834
MPC,QU=F,0,0.5007007331131013,6.132807307368118e-85,True,0.5007007331131013
CVX,QU=F,0,0.4981916693674453,5.603050328585682e-84,True,0.4981916693674453
MPC,RB=F,0,0.4941414513381345,1.916617902176953e-82,True,0.4941414513381345
VLO,QU=F,0,0.48313370397024413,2.2350356106011313e-78,True,0.48313370397024413
