Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
GOLD,GC=F,0,0.686274234726846,1.00102151033739e-184,True,0.686274234726846
PAAS,SI=F,0,0.6564618123581651,8.456381966097723e-164,True,0.6564618123581651
WPM,GC=F,0,0.6513745413677945,1.8297282557238763e-160,True,0.6513745413677945
AEM,GC=F,0,0.6500294619398534,1.3598513422780846e-159,True,0.6500294619398534
PAAS,GC=F,0,0.6395938707658306,5.545914256600846e-153,True,0.6395938707658306
FCX,HG=F,0,0.6274932086026614,1.2436216428127605e-145,True,0.6274932086026614
HL,SI=F,0,0.6253876218658816,2.1912847686157886e-144,True,0.6253876218658816
SCCO,HG=F,0,0.61868638897888,1.7510037566554098e-140,True,0.61868638897888
NEM,GC=F,0,0.6172997357356582,1.0941228004423409e-139,True,0.6172997357356582
WPM,SI=F,0,0.6147550235340403,3.0840724053369176e-138,True,0.6147550235340403
HAL,BZ=F,0,0.610720755272781,5.767268932721092e-136,True,0.610720755272781
DVN,BZ=F,0,0.6031510255028885,8.637217288199194e-132,True,0.6031510255028885
COP,BZ=F,0,0.599651722157534,6.744260255092909e-130,True,0.599651722157534
EOG,BZ=F,0,0.5966661792915356,2.662153455582869e-128,True,0.5966661792915356
GOLD,SI=F,0,0.5827807837546566,4.301071114093742e-121,True,0.5827807837546566
HES,BZ=F,0,0.5676935109634459,1.2069597874036702e-113,True,0.5676935109634459
SLB,BZ=F,0,0.5668283540375116,3.141816153316178e-113,True,0.5668283540375116
FNV,GC=F,0,0.5653941752478389,1.5248677473471045e-112,True,0.5653941752478389
XOM,BZ=F,0,0.5616178661597699,9.411219585779142e-111,True,0.5616178661597699
HAL,CL=F,0,0.5578149719975948,5.668852291212365e-109,True,0.5578149719975948
HL,GC=F,0,0.5570411530936782,1.2967235884716939e-108,True,0.5570411530936782
AEM,SI=F,0,0.5520154187506163,2.653860468559483e-106,True,0.5520154187506163
COP,QU=F,0,0.5505578245702389,1.221231104195034e-105,True,0.5505578245702389
DVN,CL=F,0,0.5481913486985118,1.4326344975882015e-104,True,0.5481913486985118
BP,BZ=F,0,0.5452133570375859,3.088113117685924e-103,True,0.5452133570375859
TECK,HG=F,0,0.5428987808783401,3.2881197710857497e-102,True,0.5428987808783401
GLNCY,HG=F,0,0.5403006582044575,4.57651478524594e-101,True,0.5403006582044575
NEM,SI=F,0,0.5401797419128807,5.1702780051923516e-101,True,0.5401797419128807
