,,0
GOLD,GC=F,0.6791913082972555
PAAS,SI=F,0.6699636165292139
AEM,GC=F,0.6676321199823994
WPM,GC=F,0.6539487268150695
HL,SI=F,0.6496553461478438
FCX,HG=F,0.6440337836465511
AG,SI=F,0.6430332274173606
WPM,SI=F,0.6343076234411305
PAAS,GC=F,0.63123292683601
SCCO,HG=F,0.623304916505872
NEM,GC=F,0.6120266926175263
GOLD,SI=F,0.6081927974768878
COP,BZ=F,0.596808736124918
AEM,SI=F,0.5943917714425452
COP,CL=F,0.5921329703653319
EOG,BZ=F,0.5873156387049548
EOG,CL=F,0.5795006406146699
OXY,BZ=F,0.5780869679189284
HL,GC=F,0.5773770643276719
OXY,CL=F,0.5753079954580667
HAL,BZ=F,0.5738040789688649
DVN,BZ=F,0.5731372891056664
XOM,CL=F,0.5701758106469481
HAL,CL=F,0.5701012553704591
DVN,CL=F,0.5691032790080139
AG,GC=F,0.5679462987777046
NEM,SI=F,0.5678286351017234
APA,BZ=F,0.5676203468775283
XOM,BZ=F,0.56491151480119
TECK,HG=F,0.5620199445155606
